6zpl_F	6zpl_F	1
7zml_K	7zml_K	1
6x04_L	6x04_L	1
4krm_H	4krm_H	1
4m3k_B	4m3k_B	1
1ri8_A	1ri8_A	1
6h7j_D	6h7j_D	1
5vxj_F	5vxj_F	1
5f7w_D	5f7w_D	1
7stg_H	7stg_H	1
3eba_A	3eba_A	1
7s2s_A	7s2s_A	1
5da0_B	5da0_B	1
7qn7_G	7qn7_G	1
8bf4_B	8bf4_B	1
7d5q_C	7d5q_C	1
7cz0_G	7cz0_G	1
6hjx_I	6hjx_I	1
5vak_B	5vak_B	1
7k7y_H	7k7y_H	1
7ssh_Z	7ssh_Z	1
7usv_D	7usv_D	1
6qgw_B	6qgw_B	1
6z20_B	6z20_B	1
5imo_B	5imo_B	1
7n0r_D	7n0r_D	1
4nc1_E	4nc1_E	1
7a50_C	7a50_C	1
5fv2_A	5fv2_A	1
1xfp_A	1xfp_A	1
5m15_C	5m15_C	1
6gwn_B	6gwn_B	1
5ihl_E	5ihl_E	1
7wd2_D	7wd2_D	1
7ph7_C	7ph7_C	1
7aqy_D	7aqy_D	1
5m30_D	5m30_D	1
8cxr_G	8cxr_G	1
4kml_B	4kml_B	1
6zcz_F	6zcz_F	1
5o8f_K	5o8f_K	1
6oz6_H	6oz6_H	1
6n4y_E	6n4y_E	1
6obg_C	6obg_C	1
7bts_B	7bts_B	1
4w2q_G	4w2q_G	1
5sv3_A	5sv3_A	1
6ssi_F	6ssi_F	1
4weu_E	4weu_E	1
7ubx_C	7ubx_C	1
7st3_P	7st3_P	1
7r24_C	7r24_C	1
7zmm_F	7zmm_F	1
7a4d_A	7a4d_A	1
7km5_C	7km5_C	1
7zmr_C	7zmr_C	1
2xxm_B	2xxm_B	1
4kfz_D	4kfz_D	1
5mwn_N	5mwn_N	1
6u51_C	6u51_C	1
6gjs_C	6gjs_C	1
6cwg_B	6cwg_B	1
6xw5_D	6xw5_D	1
5y80_B	5y80_B	1
7l6v_E	7l6v_E	1
7now_C	7now_C	1
7ph7_D	7ph7_D	1
6b73_D	6b73_D	1
